月份/地点,站点10预测,站点10实际
21.0,4.3638387,5.0
14.0,5.555986,5.9999995
42.0,21.646852,21.0
26.0,2.955633,2.9999998
12.0,7.012608,7.0
27.0,3.745722,5.0
35.0,16.894716,16.0
23.0,3.6131268,4.0
18.0,10.391972,10.0
33.0,30.589638,29.0
43.0,21.460983,21.0
41.0,25.706894,28.0
29.0,3.9307446,4.0
25.0,4.033231,4.0
34.0,25.585655,27.0
15.0,4.0425215,4.0
28.0,2.9869046,2.9999998
17.0,6.8001485,7.0
22.0,2.9560978,2.9999998
38.0,12.398933,11.999999
24.0,6.036558,21.0
37.0,13.934671,49.999996
46.0,25.858223,91.0
19.0,8.206159,8.0
31.0,4.160022,40.0
47.0,24.682789,23.999998
36.0,16.194864,32.0
40.0,25.596308,35.0
32.0,25.700438,27.0
39.0,18.004055,45.000004
13.0,5.5807896,10.0
16.0,4.392177,2.9999998
30.0,7.693754,31.0
45.0,21.48663,47.000004
48.0,21.39862,32.0
44.0,20.741251,21.0
20.0,5.2826777,5.9999995
11.0,8.903547,7.0
