月份/地点,站点6预测,站点6实际
45.0,46.545044,45.0
24.0,69.6181,179.0
23.0,55.256935,105.0
39.0,44.33473,104.0
47.0,53.188744,59.000004
42.0,35.08589,35.0
19.0,51.129314,54.999996
29.0,94.80868,84.0
43.0,44.730816,45.0
21.0,33.10778,74.00001
31.0,99.71474,166.0
18.0,49.535156,54.0
32.0,108.415085,101.0
30.0,96.11588,168.0
15.0,46.287727,48.000004
17.0,49.135822,41.000004
38.0,93.1944,91.0
25.0,56.589493,60.0
36.0,121.31011,126.0
16.0,56.945705,50.0
13.0,38.217274,54.999996
48.0,34.08356,33.0
46.0,51.169006,53.0
27.0,62.80727,80.0
14.0,28.25036,28.0
11.0,35.459667,57.0
40.0,43.664154,113.0
22.0,40.311802,63.000008
26.0,47.664158,43.0
34.0,109.88742,137.0
12.0,61.086945,62.000004
37.0,109.37498,142.0
44.0,45.32938,52.0
35.0,113.26529,154.0
28.0,86.04455,72.0
41.0,41.062912,98.99999
20.0,32.258392,67.0
33.0,99.106735,125.0
