月份/地点,劲松预测,劲松实际
31.0,82.2786,63.0
32.0,66.82965,137.0
19.0,54.094147,60.000004
39.0,24.803825,113.0
38.0,16.167664,16.0
18.0,68.568924,64.00001
21.0,37.527027,66.00001
42.0,170.66776,171.00002
48.0,39.5858,40.0
46.0,114.03735,109.00001
43.0,134.60202,127.00001
45.0,146.68394,150.0
27.0,91.0523,64.00001
44.0,149.13123,143.0
25.0,82.35325,95.0
47.0,70.06458,68.00001
29.0,82.96929,118.00001
22.0,46.207294,47.0
16.0,84.48003,95.0
41.0,105.54491,333.0
36.0,37.517548,34.0
20.0,39.832104,33.0
24.0,69.75676,62.000004
37.0,28.730951,38.0
28.0,85.895,92.0
15.0,86.77519,83.99999
33.0,61.083706,171.00002
30.0,83.453156,117.0
13.0,83.854675,87.0
34.0,65.34877,130.0
26.0,93.64937,65.0
11.0,59.90108,61.0
23.0,55.71091,72.0
35.0,56.607456,74.0
40.0,40.028095,316.0
14.0,84.779106,91.00001
17.0,80.7914,65.0
12.0,71.04005,77.00001
