月份/地点,劲松预测,劲松实际
43.0,746.0332,932.0
27.0,970.94214,1080.0
15.0,816.03564,863.0
13.0,443.97983,455.0
42.0,727.6531,726.0
36.0,899.23,863.0
22.0,754.4967,710.0
30.0,1006.18945,1179.0
47.0,828.57465,931.0
11.0,742.94604,744.0
24.0,766.3622,867.99994
16.0,783.41516,807.0
29.0,991.9277,1428.0
34.0,834.29565,1361.0
37.0,833.7985,1189.0001
44.0,828.9014,844.0
28.0,1012.06866,977.99994
39.0,783.8278,774.0
21.0,747.99207,879.0
40.0,688.3522,589.0
25.0,782.5636,1546.0
38.0,830.20435,917.0
48.0,823.50555,663.0
41.0,700.9193,769.0
32.0,909.2846,883.0
12.0,607.41644,618.0
17.0,774.2089,616.0
18.0,762.3805,826.0
26.0,863.67236,1310.0
23.0,755.85516,744.0
46.0,812.6285,1008.0
31.0,964.70105,989.0
14.0,566.7821,572.0
35.0,932.1427,1189.0001
19.0,758.6674,852.0
20.0,762.0753,629.0
45.0,825.96313,783.0
33.0,835.3883,1139.0
