月份/地点,酒仙桥预测,酒仙桥实际
22.0,78.70556,113.0
41.0,139.04199,246.00002
13.0,40.941963,40.0
37.0,95.79937,97.0
19.0,44.0147,44.0
23.0,98.65541,177.0
32.0,83.51669,82.0
42.0,248.87834,266.0
25.0,128.03612,146.0
11.0,38.062443,38.0
45.0,227.48372,235.0
29.0,135.45828,141.0
36.0,123.39768,120.0
35.0,237.71336,207.0
21.0,65.051094,150.0
15.0,80.53813,81.0
39.0,89.62064,159.0
44.0,219.68086,227.0
12.0,30.942026,31.0
26.0,142.79646,136.0
27.0,146.03514,176.0
18.0,60.255714,63.0
40.0,183.16321,176.0
16.0,67.137535,65.0
38.0,86.517944,77.0
24.0,134.33893,115.0
48.0,138.62779,141.0
34.0,157.04451,248.0
33.0,106.888054,144.0
28.0,175.26843,143.0
20.0,50.34591,33.0
14.0,72.88704,61.0
43.0,201.36295,242.00002
30.0,133.3785,158.0
47.0,181.24408,180.0
46.0,222.04538,213.0
31.0,139.44063,106.0
17.0,62.199574,50.0
