月份/地点,马家堡预测,马家堡实际
20.0,1.1974672,11.0
46.0,46.6253,50.0
12.0,2.01834,2.0
48.0,32.878212,32.0
32.0,1.0691973,25.0
18.0,2.2138042,10.0
34.0,2.8211322,23.0
45.0,43.087173,47.0
24.0,1.0211183,11.0
33.0,1.7500551,12.999999
14.0,4.815102,5.0
43.0,30.499664,28.0
38.0,24.243732,20.0
13.0,3.0785952,3.0
16.0,2.238415,2.0
28.0,1.7759602,6.0
17.0,2.558143,4.0
22.0,1.014307,2.0
26.0,1.1819177,6.0
21.0,0.9999906,1.0
25.0,1.0111699,1.0
39.0,31.70198,33.0
37.0,14.821585,29.0
41.0,40.895935,44.0
36.0,8.180326,8.0
31.0,1.1480525,25.999998
30.0,1.4015377,12.0
47.0,44.70811,49.0
23.0,1.0030148,4.0
35.0,4.9904547,14.0
44.0,38.9374,32.0
11.0,1.9111384,3.0
40.0,39.412506,45.0
15.0,5.1926427,5.0
27.0,1.4984113,2.0
42.0,31.761198,14.0
19.0,1.928845,9.0
29.0,1.5461198,3.0
