月份/地点,酒仙桥预测,酒仙桥实际
30.0,360.70087,340.0
12.0,566.6969,577.0
32.0,354.45938,352.0
16.0,743.7264,849.99994
27.0,781.3994,812.0
24.0,1305.8872,1460.0
38.0,388.94913,613.0
19.0,952.8302,852.0
44.0,624.40967,562.0
17.0,839.62396,964.0
22.0,902.38556,716.0
31.0,358.15088,379.0
13.0,600.74243,521.0
23.0,813.36096,1519.9999
41.0,500.76288,651.0
43.0,570.4021,718.99994
33.0,404.0715,401.0
34.0,505.89688,709.0
21.0,797.4995,1008.0
29.0,372.9482,389.0
18.0,930.1614,900.0
14.0,601.87286,652.0
28.0,380.9659,379.99997
35.0,461.64,448.0
11.0,510.34344,545.0
25.0,1577.6729,1567.9999
40.0,477.09482,447.0
48.0,695.64325,705.0
39.0,438.95535,416.99997
45.0,615.48816,629.0
37.0,370.64526,740.0
46.0,643.75757,709.0
42.0,541.09906,557.0
26.0,1545.405,1216.0
15.0,639.19434,826.0
20.0,918.60876,731.00006
47.0,688.114,703.0
36.0,398.9379,525.0
