月份/地点,西长安街预测,西长安街实际
20.0,51.806892,58.0
23.0,68.831345,175.0
33.0,69.73589,66.0
34.0,53.60288,117.0
11.0,38.949238,39.0
42.0,60.5435,63.0
45.0,63.42179,100.0
35.0,82.93927,69.0
39.0,35.52679,34.0
30.0,93.06657,73.0
26.0,18.25516,18.0
38.0,12.996545,12.999998
37.0,21.200163,20.0
31.0,70.67727,73.0
12.0,29.809258,72.0
14.0,17.626421,14.0
47.0,102.30271,128.0
28.0,79.01893,75.0
13.0,31.273947,25.999998
19.0,47.18865,76.0
22.0,52.22946,108.0
29.0,107.09944,128.0
16.0,45.897552,47.999996
32.0,73.27376,75.0
44.0,83.02325,86.0
24.0,54.932373,47.0
17.0,53.376842,43.0
41.0,115.16957,118.0
40.0,82.936386,106.00001
25.0,23.831762,23.0
46.0,69.55113,177.0
43.0,46.303143,101.0
18.0,44.517544,49.0
21.0,40.836727,60.0
27.0,13.033891,62.000004
48.0,50.99162,83.0
15.0,31.091396,31.000002
36.0,42.670948,46.0
