月份/地点,卢沟桥乡预测,卢沟桥乡实际
32.0,121.34285,111.00001
36.0,392.92126,536.0
34.0,178.2734,134.99998
29.0,20.978777,21.000004
16.0,4702.5703,4863.0
13.0,4006.2666,4218.0
38.0,274.38162,164.0
45.0,3667.6628,3793.0
20.0,4869.226,4380.0
44.0,2644.543,4178.0
17.0,5402.744,6166.0
18.0,6523.092,5980.0
25.0,674.44714,634.0
40.0,227.37851,671.0
33.0,150.1124,247.99997
37.0,395.39835,420.99997
24.0,724.847,645.0
47.0,2129.8984,2083.0
41.0,232.88908,2291.0
19.0,5342.3438,6520.0
27.0,666.10693,721.0
30.0,66.6981,377.99997
23.0,1033.2432,1685.0
39.0,249.761,324.0
28.0,149.95897,124.0
15.0,3769.7737,3840.9998
12.0,4363.3994,4453.0
26.0,803.1582,884.99994
43.0,2735.8691,2471.0
21.0,2541.4172,2383.0
22.0,1463.4883,2125.0
48.0,1177.6606,2884.0
42.0,875.67126,3306.0
31.0,102.37842,150.99998
11.0,4135.7764,6036.0
46.0,3398.162,3069.0
35.0,186.69533,1181.0
14.0,4747.411,2786.0
