月份/地点,六里屯预测,六里屯实际
18.0,184.8862,209.0
22.0,44.37752,44.0
43.0,99.09299,89.0
19.0,197.80412,182.0
42.0,172.35127,121.0
44.0,97.509834,89.0
33.0,158.6769,169.0
34.0,188.07341,176.0
48.0,124.13872,210.0
32.0,120.4252,137.0
12.0,72.44604,60.0
45.0,115.43477,113.0
13.0,71.814,74.0
25.0,216.84135,223.0
29.0,137.41026,213.0
37.0,165.92014,173.0
14.0,72.69609,95.0
40.0,155.81815,200.0
35.0,172.3213,215.0
41.0,194.0641,205.0
21.0,112.0361,125.0
17.0,148.18582,186.0
26.0,162.66283,157.0
31.0,177.57204,156.0
28.0,164.32298,154.0
20.0,166.75095,148.0
11.0,63.833828,68.0
24.0,255.73611,259.0
46.0,146.69287,146.0
27.0,130.06055,170.0
30.0,185.42598,233.0
15.0,76.37386,152.0
47.0,170.52922,106.0
38.0,159.1422,130.0
16.0,110.1139,151.0
36.0,192.64249,196.0
23.0,16.575758,235.0
39.0,133.6246,137.0
