月份/地点,南磨房预测,南磨房实际
39.0,127.878746,216.0
23.0,33.465694,33.0
48.0,107.40386,93.0
46.0,129.11739,126.0
26.0,84.63095,82.0
42.0,160.76442,170.0
24.0,34.878307,35.0
30.0,219.96048,224.0
44.0,142.23373,142.0
12.0,89.793,83.0
11.0,137.92393,163.0
40.0,140.6489,233.0
15.0,132.71051,160.0
28.0,192.43073,206.0
16.0,127.40306,143.0
31.0,237.71281,239.00002
27.0,153.0888,150.0
41.0,155.28699,212.0
29.0,197.3874,180.0
47.0,120.60359,103.0
33.0,162.95044,161.0
32.0,228.3465,222.0
45.0,135.53336,135.0
22.0,48.93366,69.0
19.0,90.65741,84.0
36.0,128.95168,154.0
34.0,130.82895,124.0
43.0,151.90279,151.0
20.0,63.752384,90.0
18.0,109.97363,100.0
35.0,131.32181,128.0
21.0,38.43242,113.0
14.0,102.9811,69.0
25.0,47.02663,59.0
17.0,123.39762,120.99999
13.0,76.00405,63.0
37.0,132.05972,174.0
38.0,136.84724,120.99999
