月份/地点,六里屯预测,六里屯实际
36.0,322.48004,349.0
26.0,306.09424,309.0
41.0,267.0441,359.0
21.0,60.0101,397.0
40.0,273.60715,293.0
35.0,293.5261,301.0
20.0,413.58426,453.0
47.0,293.2575,317.0
14.0,193.34358,420.0
15.0,230.5532,590.0
43.0,303.67697,365.0
11.0,477.30264,475.0
39.0,303.65543,243.0
18.0,492.12308,796.0
34.0,253.1152,264.0
17.0,402.27945,620.0
23.0,60.0101,519.0
27.0,250.64336,227.0
16.0,264.2756,708.0
32.0,159.21643,170.99998
29.0,192.0596,198.0
38.0,336.26993,227.0
12.0,398.3574,408.00003
44.0,324.77808,276.0
28.0,225.35109,221.00002
45.0,311.63864,318.0
22.0,60.0101,68.0
31.0,145.77377,140.0
46.0,299.95087,334.0
13.0,271.77744,242.0
19.0,520.0207,859.0
30.0,160.51903,211.0
33.0,211.14401,209.0
37.0,347.90497,256.0
48.0,284.66684,306.0
24.0,73.69086,494.99997
42.0,291.39316,307.0
25.0,324.53558,480.0
