月份/地点,右安门预测,右安门实际
34.0,13.828294,13.0
39.0,8.648904,20.0
35.0,1.2528434,16.999998
19.0,12.2157755,15.0
21.0,1.0454555,13.0
32.0,4.387183,14.0
47.0,11.241562,7.0
30.0,4.378539,11.0
31.0,6.9493446,7.0
42.0,12.941699,13.0
37.0,4.9058504,16.0
13.0,4.207601,5.0
44.0,11.375536,16.0
33.0,10.822607,23.000002
46.0,11.169748,11.0
24.0,3.9460993,19.000002
14.0,2.0247378,2.0
38.0,6.7867937,6.0
48.0,12.114746,33.999996
43.0,13.082639,27.000002
22.0,0.9680533,1.0
18.0,10.88199,8.0
28.0,3.381983,3.0
23.0,2.0520322,4.0
12.0,1.9202969,2.0
25.0,3.9182127,7.0
27.0,3.5686603,6.0
41.0,11.536539,13.0
26.0,3.4650218,3.0
29.0,5.503707,5.0
20.0,8.989339,7.0
16.0,4.889568,6.0
11.0,6.218403,2.0
15.0,2.232062,2.0
17.0,7.2000303,4.0
40.0,10.381751,19.000002
36.0,3.4541588,18.0
45.0,11.521048,13.0
