月份/地点,马家堡预测,马家堡实际
43.0,232.52654,217.0
23.0,127.84466,348.0
42.0,50.028996,395.0
41.0,130.75246,289.0
40.0,127.82574,140.99998
30.0,106.86512,115.0
48.0,993.09015,1072.0
12.0,355.78503,416.0
16.0,42.21391,434.0
45.0,632.8397,1162.0
22.0,337.52325,329.0
28.0,14.880001,16.0
38.0,105.43261,100.0
11.0,405.37677,407.0
47.0,1169.009,1120.0
29.0,0.5304749,0.99999964
37.0,112.002,239.0
18.0,496.37488,701.0
13.0,316.42624,267.0
27.0,69.20942,215.0
46.0,1120.257,1178.0
34.0,76.60688,75.0
39.0,59.52742,59.0
24.0,61.09373,53.0
19.0,726.4363,766.0
15.0,70.35323,252.0
25.0,95.73639,100.0
20.0,794.9574,552.0
35.0,87.962296,292.99997
14.0,189.10062,188.0
33.0,115.96695,177.0
44.0,200.36375,768.0
26.0,122.22892,206.0
36.0,88.99688,230.0
17.0,158.52496,577.0
32.0,130.2619,111.0
31.0,128.04669,55.000004
21.0,621.5081,264.0
