月份/地点,卢沟桥乡预测,卢沟桥乡实际
11.0,37.907566,32.000004
21.0,41.840126,35.000004
32.0,204.66301,209.0
43.0,124.24188,93.0
20.0,42.820244,70.0
19.0,31.351084,44.0
13.0,14.295801,15.0
46.0,98.79943,112.0
23.0,44.3185,49.000004
14.0,8.087719,8.0
35.0,190.19888,197.0
34.0,190.70142,190.0
24.0,39.333977,319.00003
28.0,69.13898,62.0
44.0,122.37235,124.0
41.0,163.40103,171.0
16.0,23.176561,26.000002
48.0,65.68243,55.0
26.0,34.428936,32.000004
12.0,31.114685,30.0
30.0,89.62573,282.0
45.0,116.42982,120.0
38.0,118.187035,121.0
29.0,88.75275,89.0
27.0,50.17759,58.0
25.0,48.13355,67.0
15.0,13.969839,30.0
18.0,22.343607,18.0
31.0,141.2098,294.0
39.0,155.29381,157.0
47.0,74.59848,97.0
17.0,32.64923,33.0
36.0,109.76288,214.99998
33.0,219.36737,205.0
22.0,43.419876,40.0
40.0,175.07613,151.0
37.0,74.76006,167.0
42.0,133.49852,87.0
