月份/地点,西长安街预测,西长安街实际
43.0,3.827177,4.0
21.0,46.093117,43.0
24.0,29.5966,27.999998
35.0,12.740802,13.999999
39.0,5.4629745,5.0
16.0,1.6453365,6.9999995
23.0,36.970715,38.0
17.0,1.0906918,1.0
20.0,36.94281,40.0
29.0,13.2305155,13.999999
33.0,10.599658,17.0
13.0,3.157433,13.0
37.0,3.9829795,4.0
12.0,3.3810787,3.0
26.0,18.391592,18.0
31.0,7.532175,8.0
46.0,4.1661515,13.0
44.0,3.9303744,4.0
45.0,3.7702365,4.0
42.0,5.2645082,5.0
48.0,3.1144004,4.0
14.0,3.0898209,3.0
47.0,3.56949,6.0
27.0,12.802137,51.0
11.0,3.9490607,4.0
30.0,9.486777,9.0
32.0,5.361008,5.0
22.0,42.156227,44.0
25.0,23.715868,25.0
18.0,2.6575453,21.0
40.0,7.4247127,6.0
34.0,13.54918,9.0
36.0,6.4055576,4.0
38.0,4.198547,4.0
28.0,11.4234295,32.0
19.0,2.3480182,50.0
41.0,7.641806,8.0
15.0,2.205733,6.9999995
