月份/地点,卢沟桥乡预测,卢沟桥乡实际
20.0,1196.0259,1271.0
37.0,725.5524,872.0
44.0,1551.1405,4311.0
41.0,490.09335,3090.0002
47.0,1762.1292,1371.0
16.0,1840.1165,1798.0
19.0,1322.8739,1360.0
25.0,621.0224,845.0
35.0,424.68283,1197.0
15.0,2071.7039,2059.0
23.0,881.1564,864.0
36.0,655.10284,863.0
42.0,882.2998,3069.0
29.0,98.886185,96.99999
39.0,660.43475,583.0
18.0,1462.5448,1476.0
12.0,2585.8315,2588.0
48.0,1592.0427,1676.0
45.0,1984.8342,3829.0
22.0,978.3769,897.0
40.0,542.9228,895.0
21.0,1089.3518,987.0
34.0,309.79562,281.0
13.0,2381.4893,3372.0
24.0,751.34863,800.99994
38.0,760.41266,561.0
27.0,379.83954,643.0
33.0,230.74832,219.00002
26.0,510.70837,494.99994
32.0,193.70256,212.0
46.0,2151.5596,2052.0
43.0,1317.2534,2702.0
11.0,2664.4065,3419.0
31.0,150.79796,313.0
14.0,2260.4133,2598.0
30.0,109.0494,287.0
28.0,237.00577,193.99998
17.0,1614.1455,1879.0001
