月份/地点,月坛预测,月坛实际
29.0,119.27289,153.0
36.0,99.43424,110.0
13.0,47.432877,54.0
39.0,46.52453,93.0
35.0,108.0168,125.0
41.0,44.964474,198.99998
15.0,63.953205,66.0
19.0,77.57577,85.0
21.0,85.203316,76.0
11.0,81.740715,109.0
14.0,22.23232,23.999998
30.0,80.86648,113.99999
24.0,48.524708,49.0
40.0,36.290737,140.0
45.0,115.061295,145.0
17.0,115.93003,122.0
43.0,115.1889,132.0
44.0,124.329796,112.0
26.0,35.69965,37.0
18.0,84.50766,81.0
38.0,67.967575,59.0
20.0,67.99902,67.99999
16.0,105.753426,99.0
27.0,70.613075,67.99999
47.0,114.27349,109.0
48.0,101.1005,115.00001
34.0,108.6379,102.0
12.0,75.28111,55.0
23.0,77.158104,120.0
22.0,105.5309,119.0
25.0,39.67286,47.0
46.0,111.713234,150.0
28.0,122.59213,126.0
32.0,81.17302,134.0
33.0,97.15029,144.0
42.0,90.68968,128.0
37.0,78.21317,122.99999
31.0,57.878265,155.0
