月份/地点,南磨房预测,南磨房实际
19.0,331.53192,356.0
12.0,236.78474,242.0
42.0,274.1967,209.00002
13.0,242.39737,247.0
48.0,287.4547,211.0
35.0,381.9508,409.0
14.0,298.99744,321.0
21.0,352.82758,328.0
16.0,398.6165,481.0
15.0,333.9222,363.99997
40.0,325.34882,356.0
47.0,214.3517,359.0
29.0,289.5413,534.0
45.0,110.17596,228.0
41.0,316.58063,340.0
36.0,284.82227,423.0
20.0,329.75467,301.0
32.0,356.98538,320.0
17.0,404.03714,525.0
31.0,393.924,362.99997
18.0,358.59753,385.0
24.0,84.871796,86.0
46.0,147.78215,270.0
33.0,346.00018,390.00003
30.0,442.95145,477.99997
11.0,197.973,216.0
27.0,107.06075,104.0
23.0,173.97931,180.0
26.0,126.30029,134.0
38.0,265.08395,245.00002
44.0,129.13756,293.0
37.0,214.62794,574.0
22.0,283.5069,229.0
34.0,347.6032,206.0
25.0,113.16698,99.0
28.0,156.32678,391.99997
43.0,201.12952,179.0
39.0,301.39783,408.0
