月份/地点,南磨房预测,南磨房实际
38.0,23.74861,41.0
35.0,61.875404,55.0
42.0,35.083042,119.0
45.0,27.505775,28.0
33.0,67.57194,68.0
39.0,25.088095,58.0
13.0,68.72149,71.0
30.0,32.163612,32.0
19.0,29.538631,33.0
26.0,16.879375,18.0
29.0,27.66015,66.0
25.0,10.25597,11.0
44.0,28.463223,23.0
22.0,7.498803,14.0
48.0,37.35247,41.0
23.0,4.054606,4.0
31.0,37.691544,36.0
46.0,35.4192,34.0
43.0,31.00235,75.0
24.0,4.089517,4.0
37.0,37.250065,58.0
41.0,27.513233,300.0
27.0,20.762215,19.0
11.0,72.35395,96.0
20.0,21.548235,21.0
21.0,12.287235,35.0
12.0,72.195366,73.0
40.0,36.051704,65.0
16.0,50.110657,53.000004
15.0,55.74069,53.999996
32.0,53.422176,34.0
34.0,70.70515,51.0
14.0,62.647297,35.0
28.0,24.4446,49.0
36.0,49.274113,50.0
47.0,40.27374,26.999998
17.0,44.176533,46.0
18.0,37.23211,41.0
