月份/地点,右安门预测,右安门实际
23.0,27.240046,27.0
16.0,29.357807,54.0
44.0,9.559715,48.0
33.0,20.07322,33.0
41.0,23.704556,41.0
37.0,13.794623,15.000001
20.0,31.788467,54.0
14.0,26.950886,41.0
18.0,51.89322,49.0
26.0,18.015646,18.0
22.0,28.17803,37.0
30.0,24.342508,30.000002
11.0,43.80276,57.999996
21.0,30.037119,30.000002
40.0,22.990553,15.000001
38.0,17.858658,18.0
43.0,15.85596,27.0
36.0,8.027991,7.0
47.0,29.845749,28.999998
46.0,30.939579,32.0
19.0,38.7372,39.0
31.0,20.708248,21.0
32.0,20.485962,17.0
28.0,8.002856,8.0
27.0,12.536534,19.0
39.0,23.286455,25.0
24.0,27.48875,27.0
15.0,26.727,23.0
42.0,14.900711,15.000001
12.0,34.20398,53.0
34.0,13.284982,22.0
13.0,29.184801,57.0
29.0,16.666441,21.0
35.0,8.50557,21.0
48.0,27.489677,17.0
25.0,25.167084,16.0
45.0,16.67656,40.0
17.0,34.721157,56.0
