月份/地点,马家堡预测,马家堡实际
33.0,181.78033,164.0
32.0,167.44688,172.0
25.0,127.12284,116.0
28.0,12.671634,11.999999
35.0,195.69778,260.0
19.0,371.57452,543.0
38.0,117.50981,108.0
12.0,298.57907,267.0
48.0,253.75092,624.0
31.0,152.26357,152.99998
13.0,256.3499,275.0
11.0,384.2091,378.0
29.0,9.021773,9.0
44.0,717.2996,866.0
23.0,155.09085,210.0
16.0,316.39786,323.00003
42.0,281.9865,963.00006
20.0,312.46884,264.0
34.0,204.2844,184.00002
18.0,479.42896,521.0
14.0,247.63109,335.0
15.0,227.45894,218.0
45.0,672.7219,679.99994
26.0,130.86687,171.0
27.0,116.3073,114.0
43.0,762.39465,615.0
46.0,432.98062,431.0
24.0,146.19327,134.0
21.0,113.33138,106.0
22.0,141.64537,149.0
36.0,184.14421,184.99998
17.0,395.8344,675.0
40.0,34.41222,233.0
37.0,163.50731,145.0
47.0,252.74182,332.0
30.0,92.71029,191.99998
39.0,65.36742,124.0
41.0,50.585266,774.0
