月份/地点,曙光预测,曙光实际
30.0,4.2662644,16.0
25.0,20.896074,18.0
37.0,26.010632,29.0
42.0,29.98727,31.0
39.0,18.377342,40.0
48.0,164.80954,164.0
18.0,2.1654072,2.0000002
47.0,60.567787,132.0
20.0,10.540107,29.0
34.0,18.511255,19.0
11.0,7.376749,7.0
24.0,22.898304,26.999998
41.0,31.510216,28.0
26.0,15.070335,16.0
17.0,1.6947765,5.0
15.0,1.0238408,1.0
43.0,27.056501,48.0
19.0,3.0026896,32.0
40.0,22.63296,44.0
28.0,5.853457,14.0
21.0,16.78056,43.0
27.0,9.710395,8.0
33.0,9.993245,42.0
36.0,26.594791,26.0
35.0,19.186224,43.0
45.0,35.279797,31.0
38.0,23.898932,22.0
44.0,34.53823,35.0
22.0,24.74644,18.0
46.0,30.89704,75.0
29.0,4.3674192,11.0
32.0,6.6748643,24.0
31.0,5.4890227,11.0
16.0,1.2970965,1.0
13.0,0.76659983,12.0
14.0,1.1886137,1.0
23.0,23.650948,30.000002
12.0,1.0007381,14.0
