月份/地点,曙光预测,曙光实际
26.0,43.849396,48.0
11.0,9.355901,9.0
31.0,60.61741,62.0
41.0,247.185,268.0
17.0,6.768427,12.0
47.0,296.78458,383.0
29.0,57.955223,39.0
24.0,35.821297,34.0
40.0,222.6984,218.0
27.0,49.057793,54.0
21.0,31.993387,38.0
42.0,279.1945,259.0
12.0,2.741966,3.0
30.0,58.051807,56.0
45.0,327.6639,355.0
20.0,32.07336,41.0
16.0,4.2016077,4.0
43.0,302.2939,309.0
18.0,7.213986,6.0
37.0,127.794,192.0
32.0,64.57234,72.0
15.0,1.1292524,1.0
48.0,305.44742,285.0
38.0,157.26884,138.0
39.0,191.29475,190.0
22.0,32.366184,25.0
19.0,20.994713,21.0
46.0,267.26953,241.0
13.0,3.4293253,4.0
34.0,84.118576,96.99999
25.0,38.63434,55.0
36.0,115.66356,108.0
33.0,69.3543,112.99999
44.0,361.9385,302.0
23.0,33.769085,24.000002
14.0,2.1255028,2.0
28.0,54.225304,46.0
35.0,97.90921,121.99999
