月份/地点,月坛预测,月坛实际
15.0,166.0566,173.0
28.0,157.95978,175.00002
39.0,136.05028,301.0
20.0,233.57408,239.0
48.0,126.5033,130.0
16.0,224.8527,231.0
24.0,107.282265,107.0
32.0,238.4599,292.0
34.0,329.10654,311.0
40.0,175.76222,384.0
12.0,138.28749,136.0
23.0,165.61612,164.0
21.0,227.95653,220.0
17.0,242.59724,225.0
45.0,248.25812,267.0
42.0,327.4005,312.0
44.0,289.88782,245.0
33.0,289.321,340.00003
29.0,150.49672,148.0
43.0,292.46918,327.0
46.0,220.76668,215.99998
13.0,130.1981,133.0
41.0,294.52155,405.0
30.0,154.17494,153.0
25.0,95.0084,95.0
26.0,96.14376,96.0
37.0,264.1989,280.0
19.0,228.64922,224.0
14.0,105.88434,105.0
22.0,191.68625,229.99998
36.0,355.0649,197.0
18.0,243.82288,222.0
27.0,132.56223,139.0
38.0,220.45996,139.0
31.0,196.54623,263.0
11.0,173.98933,86.0
47.0,166.67934,185.0
35.0,346.515,332.0
