月份/地点,南磨房预测,南磨房实际
36.0,413.23148,558.0
30.0,233.63115,225.0
23.0,199.9495,244.99998
13.0,255.08775,258.0
21.0,457.1095,605.0
17.0,480.22922,402.0
45.0,329.18716,348.0
29.0,237.63042,249.00002
16.0,483.24133,505.0
35.0,369.24905,359.0
14.0,282.89886,453.0
25.0,267.94104,318.0
33.0,324.52145,317.0
20.0,487.86487,489.99997
46.0,408.0393,412.0
11.0,224.58626,221.0
39.0,603.15454,605.0
18.0,476.67044,440.0
34.0,347.05276,316.0
22.0,281.51483,259.0
47.0,330.28262,490.99997
15.0,391.3021,517.0
24.0,199.9495,206.0
31.0,261.44983,336.0
27.0,252.90921,274.0
26.0,272.74164,270.0
28.0,242.21873,232.00002
32.0,304.52765,345.0
48.0,228.60762,289.0
37.0,506.45526,598.0
12.0,237.53706,257.0
44.0,199.9495,288.0
38.0,598.87244,477.0
42.0,241.14514,365.0
19.0,453.8622,521.0
43.0,199.9495,298.0
40.0,554.0028,429.00003
41.0,384.91156,539.0
