月份/地点,王佐镇预测,王佐镇实际
39.0,10.4999695,16.0
45.0,30.824497,37.0
33.0,42.110497,52.0
34.0,29.373512,25.0
20.0,86.531525,73.0
23.0,66.13996,90.0
15.0,38.704426,39.0
48.0,23.996096,26.0
44.0,29.931568,20.000002
22.0,67.01085,63.0
18.0,74.50239,345.0
25.0,61.98758,60.0
21.0,64.73586,67.0
37.0,17.263548,36.0
27.0,155.93596,171.99998
41.0,22.380573,49.0
46.0,29.780031,35.0
32.0,37.927532,44.0
13.0,32.257748,31.0
28.0,41.286068,43.0
17.0,76.29096,282.0
35.0,18.043736,19.0
42.0,22.430422,64.0
47.0,22.288382,21.000002
16.0,78.10451,68.0
19.0,120.75944,187.0
40.0,7.302112,45.0
36.0,18.542084,16.0
38.0,4.1715636,3.0
14.0,14.761719,14.000001
31.0,23.978357,23.0
11.0,27.97577,53.999996
43.0,26.462769,17.0
26.0,109.38141,66.0
30.0,16.462385,50.0
12.0,34.042637,47.0
29.0,29.946123,22.0
24.0,61.918663,106.0
