月份/地点,西长安街预测,西长安街实际
34.0,1193.9575,1205.0
26.0,1096.8445,1000.99994
44.0,2344.261,2368.0
45.0,2355.7224,2833.0
39.0,1772.2963,1979.0
29.0,990.5822,906.0
16.0,48.486282,90.0
36.0,1281.5321,1364.0
18.0,176.66615,317.0
13.0,28.765257,30.000004
20.0,567.9899,437.0
21.0,546.61176,560.0
47.0,2961.51,2776.0
37.0,1425.439,1439.0
14.0,27.136385,11.0
15.0,17.121819,56.000004
11.0,36.90368,26.0
40.0,2039.026,1706.0
30.0,898.8114,830.0
17.0,112.10115,137.0
41.0,1820.2399,2459.0
19.0,392.04388,439.0
12.0,29.897024,32.000004
24.0,737.1402,766.99994
35.0,1350.4954,1147.0
33.0,1003.62805,1077.0
23.0,592.84796,699.0
27.0,1125.653,1129.0
48.0,2778.0608,2900.0
31.0,844.71814,882.0
46.0,2710.9688,3073.0
42.0,2341.7341,2211.0
32.0,925.3318,906.0
22.0,612.6639,543.0
25.0,850.08,1001.99994
38.0,1531.3936,1706.0
43.0,2294.954,2381.0
28.0,1200.4387,921.0
