月份/地点,前门预测,前门实际
23.0,31.349983,46.0
20.0,41.501602,39.0
22.0,53.903744,46.0
31.0,30.74534,92.0
48.0,112.17054,98.0
18.0,15.292626,59.0
11.0,42.82627,47.0
42.0,148.10895,136.0
29.0,22.822815,22.0
24.0,10.992204,11.0
41.0,153.91846,173.0
34.0,98.68753,109.0
36.0,119.841965,118.0
16.0,30.475437,29.0
12.0,32.975655,31.0
30.0,20.341967,20.0
47.0,115.55717,154.0
45.0,136.1028,230.0
38.0,229.72221,184.0
25.0,15.683871,56.0
21.0,52.51101,67.0
17.0,22.570524,44.0
26.0,34.033398,66.0
39.0,228.91508,298.0
37.0,191.13335,215.0
14.0,25.346422,60.0
27.0,14.640051,45.0
13.0,34.29953,36.0
19.0,26.400648,71.0
32.0,36.867588,114.0
33.0,66.024124,79.0
40.0,206.5059,180.0
46.0,126.29397,287.0
15.0,19.331587,87.0
28.0,20.780703,29.0
43.0,151.77835,144.0
44.0,141.66557,213.0
35.0,75.50107,115.0
