月份/地点,香河园预测,香河园实际
26.0,13.529477,26.0
40.0,24.135885,25.0
41.0,28.746773,53.0
20.0,127.42984,126.00001
16.0,749.7206,722.0
19.0,300.00797,278.0
31.0,33.382717,51.0
37.0,18.732122,31.0
21.0,62.794315,61.0
24.0,42.321285,55.0
12.0,24.959333,17.0
33.0,85.88251,103.0
32.0,50.988712,120.00001
39.0,19.809376,24.0
27.0,4.298395,4.0
36.0,30.289274,26.0
48.0,118.92613,113.99999
44.0,43.703587,42.0
23.0,62.66933,254.0
45.0,31.05837,47.0
35.0,45.604946,60.000004
14.0,97.21894,275.0
11.0,23.078266,16.0
25.0,25.05499,20.0
29.0,3.4968524,3.0
30.0,14.319255,30.000002
42.0,42.793926,103.0
34.0,83.039085,44.0
22.0,64.97024,59.0
18.0,568.37787,622.0
17.0,911.6293,585.0
13.0,28.927671,161.0
28.0,2.0186293,7.0
47.0,58.887535,198.0
46.0,30.581919,110.0
43.0,69.388336,23.0
15.0,227.40051,737.0
38.0,17.43152,24.0
