月份/地点,香河园预测,香河园实际
29.0,63.130444,81.0
48.0,534.5024,531.0
26.0,44.478123,40.999996
12.0,59.69638,62.0
45.0,567.5603,566.0
23.0,78.18833,88.0
16.0,84.150856,75.0
27.0,48.44744,53.0
19.0,53.01124,50.0
36.0,141.25545,153.0
25.0,48.607777,44.0
40.0,252.49092,325.0
11.0,59.219395,59.0
30.0,58.756817,107.0
47.0,574.87354,563.0
39.0,187.63467,179.00002
42.0,400.05875,398.99997
33.0,57.434284,152.0
18.0,61.889107,105.0
15.0,104.35857,122.0
24.0,78.54892,78.0
44.0,522.9268,512.0
17.0,73.69715,73.0
20.0,62.596397,61.0
38.0,112.30452,87.0
32.0,63.568905,94.99999
13.0,68.33962,61.0
21.0,67.693214,91.0
46.0,569.2301,714.0
14.0,104.46597,113.0
37.0,143.33646,101.0
35.0,119.39372,132.0
28.0,52.439495,67.0
41.0,293.3495,363.0
43.0,494.14407,400.0
34.0,66.69292,185.99998
22.0,70.87618,53.0
31.0,56.996975,101.0
