月份/地点,曙光预测,曙光实际
43.0,789.01385,852.0
41.0,513.76874,694.0
40.0,501.65115,273.0
32.0,49.181404,56.0
22.0,41.441315,35.0
20.0,49.068882,55.0
13.0,33.571922,37.0
34.0,66.185875,78.999985
37.0,196.60097,314.0
38.0,315.29202,353.0
25.0,49.76713,46.0
47.0,914.25146,928.0
18.0,14.864585,14.0
28.0,65.48357,51.0
42.0,679.97485,699.0
33.0,50.739132,101.0
12.0,34.47335,33.0
30.0,51.74272,43.0
24.0,44.96818,38.0
16.0,4.9665804,4.0000005
15.0,12.739188,11.999999
36.0,145.49167,152.0
19.0,32.952908,44.0
11.0,39.98413,35.0
44.0,903.16156,930.0
23.0,42.23329,29.0
14.0,25.21096,26.0
48.0,989.13196,1073.0
27.0,59.70102,61.0
46.0,974.20667,686.0
39.0,411.1747,405.0
29.0,62.713383,19.0
17.0,4.976326,8.000001
45.0,963.98627,932.0
31.0,49.74248,45.0
35.0,87.88182,142.0
21.0,44.91311,41.0
26.0,53.450775,73.0
