月份/地点,亚运村预测,亚运村实际
31.0,24.707905,285.0
22.0,4.201029,4.0
13.0,30.62969,122.00001
48.0,43.97848,42.0
44.0,16.86903,26.0
33.0,78.56982,229.0
20.0,24.585644,77.0
26.0,152.61476,170.0
14.0,7.24863,246.99998
43.0,30.408651,20.0
47.0,7.7306066,45.0
15.0,20.851526,21.0
39.0,90.65968,98.0
11.0,37.627148,124.0
42.0,43.692886,75.0
28.0,74.72373,75.0
17.0,5.745276,6.0000005
30.0,9.81422,351.99997
16.0,9.441188,9.0
46.0,5.503129,28.0
32.0,55.25856,132.0
21.0,17.411734,42.0
35.0,80.85694,59.0
37.0,88.01139,149.0
12.0,33.312695,124.0
23.0,30.036875,171.0
36.0,85.21181,85.0
40.0,56.513683,41.0
25.0,170.58632,159.0
19.0,24.417925,21.0
27.0,117.88824,95.0
18.0,12.565214,4.0
38.0,92.87893,132.0
34.0,80.62295,171.0
24.0,64.82301,207.0
29.0,30.78438,139.0
41.0,41.71031,74.0
45.0,10.048273,31.0
