月份/地点,亚运村预测,亚运村实际
41.0,380.27377,352.0
27.0,346.72958,380.0
46.0,416.24893,605.0
32.0,393.53433,493.0
45.0,412.1068,407.0
35.0,401.1285,331.0
33.0,454.42355,440.0
36.0,319.83194,292.0
23.0,137.1837,170.00002
19.0,42.071148,48.0
37.0,288.84174,353.0
18.0,8.882956,9.0
25.0,257.42117,242.0
16.0,18.748388,18.0
14.0,66.078,227.00002
43.0,380.75275,358.0
34.0,432.38907,427.00003
24.0,162.52551,167.0
13.0,96.56161,196.0
42.0,382.1516,358.0
47.0,563.40125,747.0
12.0,107.36365,87.0
31.0,470.22818,341.0
11.0,93.465965,96.0
15.0,57.404415,53.0
21.0,83.86625,74.0
29.0,402.11966,377.0
48.0,733.2056,852.0
30.0,420.51965,484.0
17.0,8.881871,9.0
26.0,323.9981,250.00002
22.0,106.75116,25.0
28.0,324.4224,409.0
44.0,375.4189,420.0
39.0,297.7985,370.0
20.0,74.06953,111.000015
38.0,312.75763,268.0
40.0,342.15576,385.0
