月份/地点,王佐镇预测,王佐镇实际
43.0,934.78204,1634.9999
13.0,483.10574,501.99997
39.0,409.2129,310.0
30.0,75.11483,76.0
25.0,548.04376,589.0
47.0,1277.851,1103.9999
33.0,217.88751,329.0
11.0,681.8494,710.0
18.0,1119.0575,1089.0
29.0,69.724846,44.999996
42.0,464.68805,1853.0
12.0,460.3241,408.0
40.0,401.49692,464.0
27.0,203.13368,739.0
28.0,130.6005,141.0
35.0,555.1558,590.0
24.0,647.2831,364.0
14.0,457.76022,610.0
45.0,1965.8207,2789.0
17.0,767.71124,855.00006
19.0,1306.5419,1308.0
41.0,391.76608,1229.0001
32.0,149.06026,144.0
34.0,258.1688,247.99998
48.0,970.09015,1785.0
23.0,746.74854,1089.9999
16.0,221.02747,209.0
15.0,359.2166,344.0
37.0,595.6316,550.0
46.0,1974.2777,1936.0
21.0,900.5223,1279.0
31.0,99.53112,108.0
26.0,369.16736,954.0
38.0,476.25287,402.0
22.0,840.9274,1190.0
44.0,1272.0006,3304.0
36.0,717.6335,614.0
20.0,866.48444,1068.0
