月份/地点,右安门预测,右安门实际
23.0,357.797,687.0
47.0,103.47576,212.99998
40.0,42.054016,90.0
21.0,430.77155,511.0
11.0,325.56982,515.0
37.0,67.663635,65.0
35.0,80.73175,171.0
32.0,133.37082,136.0
28.0,86.86756,53.000004
26.0,304.38736,616.0
27.0,138.14827,557.0
43.0,89.26302,101.0
44.0,78.10457,182.0
14.0,303.81137,258.0
20.0,497.94736,471.0
13.0,400.9211,271.0
15.0,249.4271,262.99997
34.0,95.31897,84.0
45.0,86.90952,224.99998
24.0,480.67572,728.0
30.0,0.42424282,50.0
16.0,233.63553,341.99997
42.0,69.97663,184.0
17.0,265.67963,758.0
38.0,49.23444,28.0
29.0,0.42424282,14.999999
18.0,491.9989,588.0
48.0,113.59222,104.0
33.0,117.14136,114.0
19.0,549.6744,518.0
12.0,396.54193,458.0
39.0,44.236717,24.000002
46.0,105.04137,162.0
41.0,45.354958,208.99998
36.0,86.81428,77.0
31.0,93.677956,66.0
25.0,536.9562,579.0
22.0,421.09195,409.00003
