月份/地点,月坛预测,月坛实际
21.0,213.64297,232.99997
20.0,211.97537,199.0
30.0,755.7667,626.0
36.0,1370.835,1323.0
46.0,2577.033,2567.0
17.0,104.36566,100.0
28.0,477.19537,524.0
13.0,98.56013,110.0
38.0,1735.5602,1776.0
22.0,221.17773,221.99997
48.0,2058.4875,2098.0
12.0,74.75993,70.0
39.0,2026.5286,2059.0
15.0,101.53483,94.0
19.0,190.53345,174.0
26.0,322.54907,286.0
32.0,1015.9541,1068.0
47.0,2378.446,2414.0
18.0,157.17719,159.0
31.0,880.12573,977.0
25.0,266.07718,289.99997
35.0,1349.6493,1197.0
23.0,211.27705,205.0
24.0,214.67769,215.99997
11.0,76.35874,76.0
42.0,2630.796,2687.0
45.0,2675.521,2896.0
27.0,384.25922,433.0
29.0,606.29724,621.0
34.0,1243.1399,1285.0
16.0,95.8088,108.0
41.0,2410.1064,2610.0
40.0,2318.167,1878.0001
33.0,1136.4927,1146.0
43.0,2829.9773,2887.0002
14.0,98.342224,75.0
44.0,2988.583,2353.0
37.0,1421.8921,1927.0
