月份/地点,西罗园预测,西罗园实际
26.0,104.35039,225.0
41.0,64.34771,76.0
12.0,585.1714,605.0
35.0,86.5934,143.0
17.0,297.65768,285.0
44.0,67.041405,61.0
48.0,48.377613,366.0
18.0,308.48303,332.0
24.0,145.00089,171.0
11.0,518.8895,544.0
28.0,52.4771,55.0
23.0,183.24648,161.0
14.0,373.4695,440.0
36.0,81.864105,153.00002
19.0,310.1249,366.0
20.0,299.54495,287.0
15.0,237.23906,224.0
34.0,76.87724,71.99999
16.0,267.61154,292.0
30.0,21.272793,24.0
29.0,0.19379568,0.99999994
31.0,39.89332,41.0
25.0,109.90311,303.00003
39.0,74.23104,70.0
27.0,70.6494,295.0
45.0,75.02378,354.99997
47.0,42.92057,40.0
43.0,60.75639,53.0
38.0,82.86253,124.0
13.0,543.5342,492.99997
40.0,67.42853,48.0
33.0,65.986176,51.0
37.0,78.1052,141.0
32.0,55.25073,35.0
46.0,54.5004,266.0
21.0,268.6953,198.0
22.0,224.16643,211.0
42.0,61.254955,50.0
