月份/地点,白纸坊预测,白纸坊实际
28.0,38.166496,35.0
34.0,939.0851,1142.0
23.0,26.58712,22.0
20.0,27.470766,29.999998
27.0,18.823845,33.000004
16.0,9.072944,5.0
31.0,123.1794,100.999985
47.0,4579.104,4437.0
35.0,2002.5356,1768.0
32.0,200.9415,219.99998
42.0,4250.127,3986.0
25.0,14.840088,16.000004
43.0,4865.7495,4904.0
17.0,9.693679,10.0
11.0,22.030035,49.0
39.0,2967.2136,3843.0
38.0,2902.0833,2702.0
24.0,18.953003,14.999999
41.0,3581.2644,3652.0
12.0,32.00971,29.000002
44.0,5220.33,5448.0
37.0,3102.8945,3266.0
26.0,12.800616,43.000004
29.0,51.278633,59.0
13.0,16.765985,12.999998
40.0,3238.6226,2979.0
14.0,10.370947,10.0
30.0,77.70949,88.00001
33.0,441.30637,393.0
15.0,9.582568,16.000004
22.0,39.483154,16.000004
46.0,4755.4907,5135.0
19.0,21.818468,9.000002
36.0,2853.3757,2757.0
18.0,14.998079,14.999999
45.0,5073.384,6208.0
21.0,37.28721,22.0
48.0,4905.4316,4759.0
