月份/地点,白纸坊预测,白纸坊实际
36.0,11.042345,24.0
46.0,12.462846,10.0
24.0,8.303183,8.0
19.0,14.975497,62.000004
25.0,4.067128,4.0
21.0,30.83926,49.0
13.0,13.378358,16.0
14.0,7.8731613,8.0
28.0,10.246954,14.0
37.0,12.150995,15.0
34.0,10.548384,11.0
20.0,27.490744,42.0
39.0,9.033635,9.0
16.0,9.720073,9.0
17.0,11.646291,22.0
35.0,9.784051,23.0
44.0,12.909092,11.0
32.0,14.609012,9.0
33.0,10.643113,26.0
26.0,8.774893,16.0
41.0,8.721879,8.0
15.0,7.0591564,7.0
40.0,8.246095,8.0
43.0,11.778516,16.0
29.0,13.425096,16.0
12.0,18.279799,17.0
23.0,20.77595,39.0
31.0,16.04298,18.0
30.0,14.925752,23.0
22.0,28.066877,51.0
48.0,9.635638,6.0
42.0,9.912383,13.0
45.0,12.855496,17.0
11.0,26.215008,24.0
18.0,14.054802,17.0
38.0,11.218063,8.0
27.0,8.769014,13.0
47.0,10.710888,11.0
