月份/地点,白纸坊预测,白纸坊实际
27.0,36.48708,41.0
16.0,2.7306087,2.0000002
35.0,151.88889,172.0
45.0,261.68115,252.99998
17.0,2.8859396,3.0
33.0,17.048367,75.0
43.0,121.61098,152.0
47.0,310.40714,340.0
20.0,34.156345,37.0
23.0,22.611826,23.0
11.0,10.894744,10.0
15.0,3.0446064,2.0000002
14.0,2.5260859,12.0
41.0,97.00838,98.0
18.0,3.1903303,17.000002
34.0,74.16036,104.99999
28.0,50.64439,31.0
32.0,14.89069,17.000002
21.0,43.612568,47.0
37.0,145.0195,250.99998
38.0,147.87625,119.0
42.0,101.063095,93.0
22.0,41.124836,47.0
26.0,11.524625,60.0
46.0,319.69556,252.0
48.0,330.8171,642.0
29.0,31.800371,39.0
31.0,16.43961,11.0
44.0,199.20534,164.0
13.0,4.8284364,5.0
19.0,16.666576,25.0
39.0,94.91293,41.0
30.0,21.728287,28.0
25.0,7.2403407,33.0
40.0,88.32154,49.0
12.0,12.48981,5.0
24.0,4.539153,17.000002
36.0,204.45503,156.0
