月份/地点,朝阳门预测,朝阳门实际
25.0,27.066984,37.0
35.0,108.506584,300.0
29.0,176.03355,189.99998
38.0,105.37262,97.0
41.0,80.992,139.0
36.0,122.07286,204.0
14.0,48.279854,38.0
20.0,98.8282,81.0
18.0,107.99493,93.0
13.0,42.347557,43.0
11.0,44.959576,74.0
12.0,40.46061,101.0
22.0,66.73393,89.0
33.0,144.04391,131.0
28.0,121.29082,157.0
26.0,31.303188,31.0
48.0,36.033253,36.0
32.0,152.44775,154.0
23.0,71.15091,75.0
31.0,146.74727,170.0
44.0,71.66861,94.0
43.0,65.85008,71.0
42.0,70.56572,60.0
46.0,76.298996,82.0
39.0,97.066895,101.0
27.0,72.67546,94.0
19.0,108.45193,112.0
24.0,10.35939,9.0
47.0,35.71788,69.0
16.0,83.50996,87.0
15.0,73.77072,103.00001
45.0,115.34563,99.00001
40.0,90.54796,105.0
17.0,102.297516,94.99999
34.0,108.03458,152.0
37.0,117.32903,108.0
21.0,85.67727,121.99999
30.0,173.58014,184.0
