月份/地点,朝阳门预测,朝阳门实际
20.0,23.884398,37.0
28.0,7.0664005,14.0
14.0,41.205963,37.0
12.0,59.15362,72.0
22.0,12.770653,12.0
46.0,4.045184,34.0
48.0,5.575153,11.0
37.0,4.368495,12.0
44.0,3.3259256,3.0
32.0,4.935643,5.0
40.0,4.367609,5.9999995
45.0,3.605239,24.0
33.0,5.5556126,12.0
21.0,17.548145,15.0
42.0,4.390387,26.0
30.0,5.53298,14.0
29.0,6.0758843,5.9999995
38.0,4.23478,4.0
31.0,4.590097,3.0
19.0,31.387604,31.0
35.0,5.4774666,20.0
24.0,5.2705092,5.0
23.0,8.634197,10.0
11.0,71.91421,66.0
43.0,3.7004414,30.0
15.0,32.132706,83.0
41.0,4.487373,15.0
47.0,5.047111,18.0
25.0,6.986218,7.0
34.0,5.582485,10.0
18.0,35.907978,35.0
16.0,30.119984,61.0
17.0,31.955048,76.0
39.0,4.7506156,20.0
13.0,48.221054,66.0
27.0,7.975729,13.0
26.0,7.6874223,5.9999995
36.0,4.418532,5.0
