月份/地点,西长安街预测,西长安街实际
22.0,822.2569,778.0
44.0,181.16064,146.0
14.0,1272.7415,1319.9999
17.0,966.90717,962.0
25.0,345.8589,383.0
18.0,985.70465,939.0
41.0,50.889755,225.00002
40.0,33.509613,56.0
13.0,815.45483,1204.0
38.0,28.422018,25.0
48.0,90.51315,128.0
39.0,31.480555,25.0
31.0,45.0478,52.000004
24.0,418.91467,420.0
26.0,275.83353,302.0
33.0,9.3572235,9.0
32.0,24.804047,24.0
19.0,897.3995,1007.0
11.0,573.923,649.0
30.0,59.46986,55.0
45.0,155.12793,114.0
34.0,11.654102,12.0
28.0,110.10339,102.0
46.0,124.94398,128.0
15.0,1327.4955,1115.0
43.0,169.72644,194.0
12.0,699.8869,734.0
42.0,155.96777,174.00002
36.0,19.675066,33.0
37.0,24.05563,24.0
47.0,116.36946,93.0
21.0,836.90515,965.0
16.0,1139.8212,890.00006
29.0,74.38601,66.0
27.0,176.4484,249.0
20.0,918.28564,964.0
35.0,15.230158,19.0
23.0,644.48425,470.0
