月份/地点,香河园预测,香河园实际
26.0,328.2471,396.0
47.0,328.94458,366.0
40.0,311.58978,337.0
18.0,375.27335,379.0
14.0,313.9442,310.0
44.0,320.3605,287.0
37.0,332.3122,497.0
27.0,329.82986,380.0
34.0,329.46854,466.0
12.0,184.28484,202.0
16.0,469.60257,451.0
33.0,323.59503,314.0
29.0,331.44254,365.0
38.0,322.88937,427.0
19.0,338.11313,499.00003
42.0,309.13318,377.0
28.0,330.87076,225.0
31.0,302.73758,258.0
21.0,302.1792,164.0
15.0,427.35498,446.0
13.0,130.89091,120.0
41.0,306.51913,400.0
23.0,304.7001,366.0
20.0,315.37595,489.0
43.0,314.6386,339.0
32.0,311.24112,262.0
45.0,322.9026,181.0
39.0,321.54904,337.0
48.0,328.77112,315.0
30.0,323.58725,318.0
22.0,300.57812,127.00001
25.0,324.6124,538.0
35.0,336.0822,472.0
24.0,316.9321,388.0
11.0,212.23593,191.0
36.0,335.34,469.0
17.0,420.92108,422.0
46.0,326.12808,266.0
