月份/地点,亚运村预测,亚运村实际
11.0,267.43954,234.0
16.0,16.439789,15.0
18.0,7.5200377,7.0
37.0,211.90196,193.0
30.0,183.3359,219.0
28.0,106.855125,104.0
27.0,192.91818,210.0
14.0,335.4529,607.0
48.0,491.23462,545.0
43.0,355.50934,313.0
38.0,185.15883,213.0
34.0,17.410318,281.0
36.0,241.3423,170.0
15.0,25.597597,24.0
24.0,295.74182,329.0
41.0,265.90875,337.0
19.0,132.1939,149.0
44.0,354.2504,335.0
12.0,370.04333,266.0
22.0,42.704388,28.999998
25.0,352.26483,405.00003
46.0,392.20218,490.0
42.0,319.8527,300.0
45.0,285.0994,333.0
33.0,136.8206,258.0
39.0,243.9875,214.0
40.0,242.9971,262.0
20.0,93.37325,173.00002
26.0,280.2388,209.0
17.0,12.174373,14.0
21.0,42.909122,80.0
47.0,481.83612,556.0
23.0,62.268547,360.0
32.0,210.76434,202.0
29.0,177.88986,153.0
13.0,408.4003,305.0
31.0,190.80232,263.0
35.0,190.15738,129.0
