月份/地点,右安门预测,右安门实际
26.0,23.880667,260.0
33.0,151.34915,169.00002
11.0,178.04877,181.0
24.0,155.79675,166.00002
15.0,53.63467,59.000004
38.0,167.00813,168.00002
43.0,1095.2539,974.0
22.0,258.95947,256.0
40.0,146.52509,244.00002
47.0,532.8975,531.0
32.0,151.8595,147.0
30.0,97.3582,261.0
23.0,224.55414,229.00002
21.0,255.60133,255.0
41.0,141.85829,1241.0
18.0,300.02292,328.0
34.0,141.4365,95.0
17.0,361.2286,368.0
42.0,536.60547,1201.0
16.0,173.72879,157.00002
13.0,108.24564,113.0
35.0,163.58127,134.00002
36.0,170.40082,172.00002
46.0,811.6299,790.0
45.0,1161.7136,1219.0
44.0,1251.4562,1424.0
39.0,151.33012,142.0
37.0,175.05232,230.00002
31.0,135.5183,179.0
29.0,16.610518,16.0
27.0,17.514055,258.0
25.0,74.06231,226.0
12.0,140.20612,162.00002
48.0,349.92557,1115.0
20.0,235.66359,272.0
14.0,67.6869,102.0
19.0,179.29674,273.0
28.0,18.049267,34.0
