月份/地点,月坛预测,月坛实际
48.0,527.87714,507.0
39.0,101.09508,103.0
30.0,1032.6506,1056.0
23.0,1902.5955,2124.0
42.0,667.3212,666.0
36.0,138.40097,135.0
21.0,1440.5322,1657.0
25.0,1985.6221,2288.0
26.0,1948.059,2301.0
12.0,1523.9072,1557.0
15.0,1845.1241,1937.0
24.0,2106.6882,1757.0
44.0,734.827,764.0
13.0,1645.0787,1880.0
41.0,457.25284,535.0
37.0,109.160774,127.0
40.0,135.28671,139.99998
32.0,371.92245,385.0
28.0,1797.2817,1546.0
27.0,1968.9899,1978.0
47.0,626.64966,613.0
20.0,1484.7495,1506.0
22.0,1551.423,2195.0
16.0,1864.8441,1536.0
46.0,708.6613,716.0
14.0,1811.2311,1727.0
38.0,76.776924,76.0
18.0,1616.1565,1603.0
43.0,755.4917,846.0
11.0,1390.3026,1293.0
33.0,241.35304,219.99998
45.0,729.9221,721.0
29.0,1433.7014,1347.0
31.0,644.06573,667.0
17.0,1695.4564,1642.0
19.0,1521.1921,1584.0
34.0,185.64212,224.0
35.0,163.07167,152.0
