月份/地点,朝外预测,朝外实际
45.0,144.70132,127.0
23.0,18.373737,156.0
16.0,148.14034,174.00002
28.0,308.2977,334.0
30.0,227.21304,228.0
22.0,18.373737,22.0
27.0,233.39653,285.0
33.0,167.23074,230.0
14.0,124.555756,126.000015
17.0,123.7318,142.0
31.0,183.66766,192.0
38.0,167.06017,128.0
40.0,144.76479,245.99998
11.0,69.52874,231.99998
20.0,43.73001,119.000015
26.0,185.64798,156.0
12.0,120.34946,187.0
19.0,91.95014,60.0
13.0,128.7204,129.0
34.0,178.54163,338.0
48.0,109.44565,99.0
42.0,183.3946,199.0
35.0,204.24486,241.0
37.0,173.36606,180.0
25.0,122.32687,220.0
18.0,101.853485,141.0
36.0,186.00223,176.0
15.0,156.9951,145.00002
32.0,174.5963,166.0
46.0,132.15868,149.0
47.0,125.43619,129.0
41.0,164.55983,291.0
21.0,24.020498,119.000015
39.0,147.8135,168.00002
29.0,342.41275,381.0
24.0,18.373737,257.0
44.0,164.26929,140.00002
43.0,165.72682,209.99998
