月份/地点,大红门预测,大红门实际
33.0,197.86638,234.0
41.0,141.90657,141.0
42.0,156.08481,164.99998
21.0,160.16353,141.0
34.0,195.67929,126.0
37.0,160.28064,166.99998
28.0,159.53511,155.0
25.0,76.804855,64.0
11.0,199.28271,200.0
46.0,206.78372,268.00003
44.0,185.04889,164.99998
16.0,209.26987,283.00003
32.0,212.7703,188.0
39.0,136.27483,115.0
48.0,244.07666,187.0
24.0,93.68137,119.0
22.0,137.98868,138.0
18.0,202.60304,335.0
29.0,193.84091,196.0
26.0,82.38551,193.00003
12.0,221.32484,186.00002
23.0,110.00391,205.00002
13.0,236.16136,245.00002
27.0,107.677055,279.00003
30.0,210.16077,242.0
17.0,202.81848,269.0
47.0,225.75545,280.0
15.0,222.83261,237.00002
45.0,191.63225,186.00002
35.0,168.16931,261.0
31.0,222.46532,179.00002
19.0,211.06947,291.00003
43.0,173.08597,143.0
14.0,235.46126,195.0
20.0,195.58623,234.0
40.0,128.93744,146.0
38.0,163.09943,63.0
36.0,163.4405,153.0
