月份/地点,朝外预测,朝外实际
47.0,588.207,557.0
44.0,773.30505,827.0
36.0,376.0268,350.0
29.0,318.46277,314.0
42.0,672.06665,587.0
23.0,201.5384,198.0
15.0,391.4112,403.0
43.0,731.0463,791.0
48.0,511.93268,554.0
30.0,251.42598,262.0
21.0,96.19102,93.99999
28.0,303.57925,276.0
27.0,402.10443,389.0
37.0,444.518,445.0
26.0,546.7217,533.0
31.0,120.67818,119.0
33.0,129.0949,143.0
18.0,147.64017,150.0
38.0,484.69498,472.0
19.0,94.17185,92.99999
12.0,668.31586,1074.0
35.0,260.27798,275.0
32.0,87.03229,89.0
20.0,106.07948,108.99999
11.0,956.88666,1057.0
13.0,442.964,307.0
25.0,477.22882,525.0
39.0,550.19464,540.0
40.0,558.145,642.0
17.0,226.89993,233.0
22.0,184.36093,20.0
24.0,328.79355,306.0
16.0,309.05475,342.0
14.0,402.66095,388.0
34.0,150.21422,346.0
41.0,583.90106,616.0
45.0,719.5289,767.0
46.0,653.79926,637.0
