月份/地点,大红门预测,大红门实际
30.0,103.59507,103.00001
42.0,68.24407,62.0
19.0,6.8469644,21.0
25.0,41.8747,44.0
15.0,9.895651,11.0
38.0,72.0242,47.0
47.0,88.17155,87.0
13.0,9.551187,9.0
12.0,14.254882,26.0
33.0,95.57624,94.0
43.0,68.84196,71.0
36.0,81.316216,91.0
40.0,69.05925,141.0
34.0,91.217636,199.0
20.0,9.642661,18.0
27.0,81.26534,82.0
24.0,15.081942,172.0
26.0,63.24512,57.0
46.0,87.919266,97.0
29.0,100.16052,104.0
11.0,17.736425,15.000001
14.0,6.7329245,6.0
35.0,87.60604,86.0
18.0,7.980293,28.0
23.0,12.635658,40.0
21.0,9.615136,19.0
37.0,75.47858,92.0
39.0,70.67188,124.0
22.0,11.4182,13.0
31.0,103.319595,100.0
16.0,7.110737,12.0
44.0,72.80864,71.0
45.0,88.197075,94.0
48.0,89.319695,96.0
17.0,8.955617,15.000001
28.0,94.07117,57.0
32.0,99.64218,71.0
41.0,66.43495,73.0
