月份/地点,大红门预测,大红门实际
40.0,203.8612,147.0
35.0,158.10747,309.0
16.0,1266.2279,1215.0
23.0,782.76605,1196.0
34.0,134.71918,87.00001
29.0,35.93963,25.999998
38.0,200.61516,84.0
41.0,203.097,267.0
46.0,224.58688,264.0
37.0,179.42963,213.0
32.0,79.01533,74.99999
33.0,89.11315,90.99999
42.0,204.86305,231.0
15.0,919.9516,881.0
28.0,39.45221,34.0
31.0,71.49287,74.0
44.0,203.89368,280.0
27.0,127.40667,251.0
30.0,59.810196,65.0
22.0,961.7931,914.99994
25.0,61.598618,55.999992
43.0,205.57481,204.0
19.0,808.3413,1769.0
26.0,129.32295,131.99998
45.0,202.98721,319.0
48.0,235.80682,231.0
14.0,545.1357,564.0
39.0,202.60043,224.99998
24.0,349.88177,379.0
21.0,1033.869,988.00006
12.0,505.18628,683.0
13.0,516.4857,614.0
17.0,387.86307,1691.0
20.0,992.4572,1213.0
18.0,299.3379,1441.0
11.0,419.9913,464.99997
36.0,167.30441,109.99999
47.0,226.54655,320.0
