月份/地点,朝阳门预测,朝阳门实际
46.0,3.9879105,4.0
35.0,24.19542,137.0
34.0,50.89912,52.0
19.0,15.279355,15.0
40.0,16.011513,22.0
23.0,6.7055387,10.0
13.0,10.213139,8.0
42.0,10.005767,9.0
27.0,13.547878,23.0
14.0,11.61465,12.000001
17.0,12.068658,28.0
41.0,12.8749275,13.0
22.0,7.9386883,11.0
43.0,9.178308,10.0
21.0,10.818779,9.0
30.0,33.288567,71.0
36.0,64.285126,72.0
28.0,19.914124,34.0
11.0,15.030578,11.0
15.0,10.489841,28.0
38.0,7.3092546,7.0000005
12.0,12.276722,20.0
48.0,14.484742,14.0
39.0,16.80749,19.0
29.0,27.099073,28.0
47.0,9.642996,9.0
33.0,59.82855,52.0
37.0,27.323593,24.000002
24.0,3.0534556,3.0000002
31.0,53.686592,49.0
18.0,15.783182,14.0
26.0,5.5109363,13.0
45.0,7.512883,11.0
25.0,3.297384,26.0
20.0,12.85827,13.0
44.0,7.9564486,9.0
16.0,10.737571,34.0
32.0,63.186897,39.0
