月份/地点,德胜预测,德胜实际
43.0,68.082375,65.0
28.0,116.94019,188.0
15.0,76.6705,144.0
44.0,54.46852,52.0
40.0,178.92938,165.0
11.0,110.89991,117.0
29.0,197.2692,343.0
22.0,189.45572,193.0
37.0,94.382324,110.0
36.0,137.92001,137.0
30.0,373.64203,355.0
18.0,96.39283,164.0
21.0,159.86137,200.99998
13.0,104.73779,119.0
27.0,53.670666,105.0
26.0,35.635303,34.0
32.0,172.56764,289.0
39.0,115.29626,119.0
24.0,107.8996,126.0
25.0,68.67049,46.000004
34.0,129.85353,130.0
23.0,169.34532,153.0
48.0,10.555555,13.999999
19.0,118.093765,149.0
12.0,49.40408,148.0
45.0,44.085823,86.0
16.0,149.8167,191.0
33.0,258.72498,230.0
17.0,159.76135,164.0
42.0,140.88982,107.0
35.0,42.484497,186.0
31.0,333.16818,232.0
38.0,145.89133,55.999996
41.0,136.34698,179.99998
14.0,65.54625,79.0
47.0,23.814451,39.0
46.0,64.90082,48.0
20.0,121.680016,168.0
