月份/地点,朝阳门预测,朝阳门实际
23.0,16.871868,35.999996
35.0,59.495358,119.0
41.0,83.80525,121.00001
27.0,37.48798,33.999996
20.0,43.974247,44.0
45.0,83.034775,77.0
43.0,71.48178,68.0
33.0,53.40134,41.999996
24.0,10.09797,9.0
42.0,70.720764,66.0
15.0,64.78782,66.0
14.0,52.86577,45.0
36.0,82.129524,79.0
31.0,41.36105,39.0
47.0,74.49567,87.0
44.0,82.27996,93.0
46.0,80.75895,90.0
17.0,34.858734,32.0
13.0,61.03177,65.0
32.0,46.553486,51.0
48.0,78.73596,60.999996
38.0,116.689835,112.0
37.0,94.35779,162.0
19.0,25.745539,23.0
26.0,24.797535,24.0
29.0,32.547695,37.0
40.0,101.21688,92.0
30.0,35.73762,52.0
34.0,59.863495,60.000004
16.0,60.932533,74.0
21.0,44.912357,40.999996
39.0,117.15199,116.0
12.0,75.09654,50.0
11.0,77.52857,37.0
28.0,35.743343,39.0
18.0,21.425285,21.0
22.0,31.019957,34.999996
25.0,9.158193,46.0
