月份/地点,德胜预测,德胜实际
22.0,16.757547,17.0
48.0,16.432322,17.0
44.0,23.680256,27.0
30.0,35.586082,33.0
33.0,25.427052,24.0
15.0,8.707785,17.0
28.0,17.126081,16.0
23.0,12.318088,20.0
24.0,4.984781,5.0
14.0,3.1809177,3.0
34.0,16.648216,16.0
32.0,36.024193,39.0
16.0,11.424484,12.999999
41.0,14.956598,19.0
12.0,10.61838,19.0
20.0,11.905145,11.0
25.0,1.0717834,1.0
38.0,5.298653,5.0
36.0,23.91034,23.0
18.0,7.6638227,36.0
39.0,5.4824057,6.0
43.0,15.700804,15.000001
42.0,16.446568,25.0
26.0,4.030761,7.0
46.0,32.785038,34.0
11.0,14.474118,21.0
27.0,8.773163,6.0
35.0,24.75339,25.999998
40.0,9.019832,7.0
47.0,25.288612,22.0
37.0,17.908972,7.0
13.0,3.0556397,12.999999
21.0,17.070822,14.0
45.0,26.698715,37.0
31.0,35.704998,33.0
19.0,9.967531,30.000002
17.0,4.325828,8.0
29.0,25.791628,37.0
