月份/地点,德胜预测,德胜实际
47.0,732.0946,754.0
12.0,424.67868,599.0
41.0,122.70492,233.0
38.0,11.010155,11.0
32.0,56.290573,56.0
15.0,610.53076,668.0
18.0,628.5111,691.0
17.0,700.9258,610.0
14.0,533.9362,319.0
26.0,506.8762,494.0
29.0,192.44893,174.0
40.0,83.06314,85.0
44.0,321.9709,270.0
25.0,579.743,517.0
35.0,38.74705,41.0
43.0,246.24419,257.0
28.0,277.66376,384.0
23.0,785.48804,950.0
22.0,677.0798,843.0
30.0,113.653465,109.0
37.0,27.912807,28.0
13.0,432.15536,456.0
34.0,43.37185,39.0
24.0,787.15375,676.0
39.0,30.9622,33.0
19.0,634.30634,649.0
11.0,368.3532,337.0
21.0,701.3456,802.0
45.0,411.09808,450.0
33.0,52.383938,54.0
16.0,696.91254,489.99997
27.0,368.58176,555.0
20.0,637.6416,785.0
36.0,35.85691,44.0
48.0,944.10535,741.0
42.0,181.46794,280.0
31.0,72.46228,78.0
46.0,532.0807,734.0
