月份/地点,大红门预测,大红门实际
30.0,62.544262,77.0
36.0,58.615353,62.0
24.0,12.089489,114.0
32.0,70.03642,66.0
45.0,75.34972,70.0
35.0,70.69823,73.0
22.0,28.78022,31.0
37.0,32.741238,31.0
29.0,53.857723,77.0
39.0,56.84433,75.0
11.0,8.130016,8.0
14.0,12.047723,12.0
33.0,77.78414,74.0
23.0,24.393625,22.0
31.0,68.32621,57.0
20.0,15.468388,35.0
34.0,85.5189,85.0
17.0,10.569672,10.0
15.0,14.012434,14.0
47.0,76.319855,141.99998
46.0,79.191734,98.0
40.0,51.776928,46.0
28.0,27.668514,24.0
18.0,11.976817,12.0
12.0,9.110456,9.0
42.0,49.829876,49.0
25.0,33.379574,34.0
13.0,10.981754,11.0
44.0,61.30856,69.0
16.0,12.8208475,13.0
26.0,19.191761,39.0
19.0,11.929776,31.0
21.0,22.760925,36.0
38.0,40.33736,35.0
41.0,48.486435,59.0
43.0,51.28725,37.0
27.0,9.064233,38.0
48.0,95.25953,94.99999
