月份/地点,东华门预测,东华门实际
12.0,99.70809,117.99999
44.0,165.95888,174.0
22.0,128.3902,119.0
45.0,120.89789,120.0
20.0,183.99567,179.0
21.0,143.14125,176.0
40.0,148.05823,149.99998
35.0,164.44337,318.0
37.0,158.97482,153.0
23.0,107.96771,102.0
19.0,213.10916,249.0
46.0,102.861015,186.0
47.0,120.04109,117.99999
17.0,238.44434,207.0
36.0,273.01218,252.0
42.0,164.36345,149.00002
31.0,146.67938,303.0
29.0,142.38303,138.0
14.0,91.8613,76.0
33.0,151.94635,262.0
34.0,211.04123,246.0
28.0,247.89961,243.0
39.0,161.37332,155.0
15.0,131.28514,141.0
48.0,101.06963,114.00001
32.0,207.3716,209.0
11.0,109.9156,106.0
41.0,168.32161,173.0
26.0,206.93831,208.0
13.0,98.47835,101.0
25.0,86.21933,175.0
24.0,98.69785,43.0
27.0,224.63202,283.0
38.0,157.93626,171.0
18.0,275.0446,208.0
43.0,131.28355,186.0
30.0,121.35623,215.0
16.0,213.48915,144.0
