月份/地点,大红门预测,大红门实际
17.0,1996.2291,2549.0
47.0,2570.819,2537.0
33.0,309.0696,239.0
38.0,513.9018,349.0
48.0,2052.014,2536.0
26.0,417.26837,496.99997
39.0,476.60272,530.0
27.0,314.208,589.0
42.0,1554.804,2491.0
30.0,146.33684,180.0
28.0,123.63048,120.00001
19.0,2249.2617,3167.0
21.0,2206.7295,1509.0
25.0,425.68527,390.0
18.0,2182.086,2518.0
13.0,2472.714,2769.0
45.0,3262.1443,3347.0
46.0,3186.574,2805.0
16.0,2243.7935,1947.0
34.0,391.65417,583.0
41.0,451.65784,2334.0
36.0,545.8436,498.00003
24.0,517.6468,517.0
35.0,451.97815,1153.0
44.0,2671.8174,3411.0
23.0,935.7577,1161.0
29.0,78.95355,76.99999
31.0,186.94446,168.0
14.0,2652.1736,2328.0
40.0,450.4606,862.0
43.0,2695.445,2248.0
22.0,1472.88,1267.0
32.0,242.27707,119.0
37.0,533.9829,361.0
11.0,2361.611,2432.0
20.0,2672.705,2130.0
12.0,2520.9758,2110.0
15.0,2765.7139,1490.0
