月份/地点,东华门预测,东华门实际
26.0,162.8332,221.99998
13.0,138.71829,142.0
34.0,499.55722,449.0
15.0,169.93697,321.0
33.0,545.94305,798.0
28.0,223.28456,749.0
40.0,405.25354,457.0
48.0,55.49495,62.999996
43.0,144.86066,148.0
37.0,230.84062,232.0
41.0,324.33405,326.0
22.0,181.42181,330.0
14.0,163.0876,143.0
23.0,124.950386,443.0
19.0,429.66214,408.0
11.0,128.4,308.0
38.0,176.73555,195.0
25.0,149.09831,254.0
20.0,378.19348,378.99997
35.0,330.78302,782.0
39.0,314.65134,312.0
27.0,149.6573,544.0
32.0,654.12573,658.0
31.0,725.2743,712.0
17.0,300.6672,433.0
18.0,436.2976,381.00003
29.0,559.0295,806.0
46.0,108.334274,108.00001
24.0,99.252396,98.0
42.0,207.56091,247.0
44.0,144.39256,266.0
47.0,82.806885,134.0
30.0,756.23676,630.0
12.0,140.56143,259.0
21.0,281.98337,334.0
36.0,263.45972,716.0
16.0,112.7528,429.99997
45.0,130.55988,209.00002
