月份/地点,东华门预测,东华门实际
44.0,44.595215,48.0
17.0,57.494694,169.0
11.0,70.53121,71.0
24.0,2.8528624,3.0
38.0,25.464134,20.0
34.0,4.1976776,4.0
43.0,43.94863,49.0
32.0,4.0995026,26.0
14.0,8.794008,9.0
39.0,23.278652,34.0
18.0,63.997166,80.0
27.0,21.37639,20.0
31.0,4.889384,5.0
28.0,12.119929,68.0
21.0,3.6516798,4.0
36.0,17.590939,31.0
20.0,47.590412,57.0
46.0,41.09429,33.0
48.0,38.465828,71.0
29.0,7.0223846,7.0
19.0,59.098774,47.0
33.0,3.9335363,30.000002
26.0,15.7697735,49.0
15.0,31.489717,132.0
25.0,15.037139,15.000001
22.0,0.9872869,1.0
42.0,42.96753,43.0
41.0,39.3794,36.0
35.0,5.484384,108.99999
16.0,56.010475,61.0
47.0,41.314518,45.0
30.0,4.9074435,11.0
13.0,34.10817,60.000004
23.0,1.4609729,15.000001
40.0,33.646008,28.999998
37.0,16.389338,76.0
45.0,44.818523,38.0
12.0,52.76474,128.0
