月份/地点,大栅栏预测,大栅栏实际
30.0,790.0444,659.0
22.0,112.16311,98.0
27.0,453.68414,516.0
46.0,1600.8954,1626.0
33.0,1158.2256,1219.0
12.0,25.478764,22.0
40.0,1520.6527,1321.0
25.0,234.84604,217.0
11.0,19.417847,21.000002
17.0,61.384567,95.0
44.0,1573.0729,1732.0
34.0,1259.9822,1231.0
26.0,358.6516,355.0
47.0,1607.4357,1556.0
45.0,1585.4802,1693.0
31.0,889.83795,1103.0
38.0,1440.7139,1272.0
48.0,1607.2844,1601.0
42.0,1554.3008,1502.0
23.0,125.40916,105.0
37.0,1407.6362,1355.0
19.0,82.262794,118.0
18.0,75.42811,77.0
20.0,90.09069,132.0
43.0,1556.9004,1761.0
32.0,1009.7143,1374.0
21.0,98.13145,173.0
16.0,46.977962,75.0
35.0,1334.478,957.99994
39.0,1471.6313,1818.0
24.0,161.1276,143.0
15.0,38.39822,26.0
41.0,1538.7251,1592.0
29.0,688.7323,563.0
28.0,565.98694,435.0
14.0,28.671406,34.0
36.0,1372.684,1178.0
13.0,29.50887,13.0
